State,StateName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
MD,Maryland,0.864915113,5.276494952,24.79456405,69.99560016,147.0754324,225.8283601,320.7531659,437.5261344,551.8178269,665.7433076,785.6519035,894.905784,977.3282741,1036.362163,1079.290171,1121.466733,1167.487694,1228.837285,1311.226694,1409.180936,1513.207944,1598.610247,1674.142363,1737.710729,1799.700613,1870.873086,1937.603214,2001.157355,2056.871353,2121.314062,2188.871062,2260.171064,2339.753345,2439.527067,2579.724034,2784.200619,3045.721408,3294.23423,3602.276998,3920.513656,4194.123573,4460.826408,4764.294505,5117.3117,5429.766213,5676.138003,5878.480833,6030.712343,6148.976294,6240.323669,6331.968778,6421.676304,6521.622547,6632.707818
ME,Maine,1.711039628,7.843256867,20.51090155,36.90935656,51.36317783,65.33865194,76.34881998,90.06838207,108.7945949,128.4663431,154.3655316,174.536457,192.0827965,208.4492625,221.6912213,239.5559629,254.9977236,264.1800549,274.8606619,284.6597114,294.8195672,301.1853785,311.6323913,323.7584548,336.8412125,349.5304312,363.6011284,380.0099984,395.7924792,412.6261334,427.961512,443.7968118,466.040327,510.2833482,587.5457145,681.3017589,787.2374298,877.3697899,1025.114342,1222.914987,1453.501382,1678.115506,1937.258409,2229.335849,2532.529839,2772.181769,2949.949115,3082.751084,3173.542566,3246.033364,3331.160561,3417.414069,3512.849164,3617.658524
MI,Michigan,0.921210747,15.23862813,68.65453265,171.8000969,257.9761581,323.4422001,388.5821135,441.224201,476.9668776,517.9636596,549.4778788,580.9235078,648.9386,664.5777545,682.7273085,706.1494923,737.1917912,777.8265975,827.1113725,875.3776088,927.9610192,977.5934511,1030.45723,1079.331465,1134.538224,1186.226157,1244.881848,1298.236272,1361.851281,1431.763166,1519.418372,1638.87257,1803.341532,2045.861776,2394.328266,2885.611159,3389.204431,3890.446113,4365.431787,4731.378451,5009.904518,5200.746741,5420.052175,5664.416142,5848.905817,5996.100675,6122.343696,6231.354169,6313.650931,6392.998017,6486.488091,6597.290819,6753.257206,6989.559278
MN,Minnesota,0.886582671,3.9465341,10.08168618,17.83290115,29.00136037,43.92378794,70.95196992,130.8317635,209.7299966,289.2387305,375.3384973,444.5628722,500.0732317,545.1293631,588.2601914,637.1667513,686.719098,757.1923133,831.3941406,916.8151397,1003.158185,1087.031388,1163.482653,1245.124327,1343.709838,1435.623104,1504.186266,1606.956447,1728.499306,1857.927787,2010.873405,2199.69264,2408.518322,2739.517578,3286.280736,4071.329477,4884.384123,5609.747941,6286.684308,6756.241187,7071.129996,7270.17809,7498.500966,7756.617985,7931.966306,8079.969934,8200.765582,8310.266166,8407.706567,8504.389825,8603.729995,8707.46531,8835.518169,8980.884923
MO,Missouri,0.22110239,3.784810184,19.13782125,45.14692474,72.30341439,94.67206784,116.1817295,141.3248351,163.4560927,182.0003428,200.1885806,221.1605578,247.4279128,272.5734624,307.0667387,354.8088874,409.8389423,490.6964285,592.9008047,734.1441724,878.3461085,996.3735623,1134.958976,1261.64755,1407.436959,1563.223389,1727.731714,1904.795136,2078.932739,2245.484591,2448.734063,2670.872229,2897.384051,3190.487286,3617.017747,4172.890338,4699.39297,5120.790989,5571.300714,5980.678877,6361.201142,6650.498711,7007.181347,7397.230729,7660.5728,7883.323275,8067.853668,8205.912965,8298.843913,8373.095538,8434.33813,8955.231084,9373.133013,9439.207596
MS,Mississippi,0.6673053,8.918572289,29.00190817,59.36228327,100.3454464,150.3187508,205.8411726,265.9094017,326.9997571,386.621436,453.5391205,528.8424739,594.8052332,669.9405843,749.7272482,897.5259639,1061.813101,1242.804376,1487.300871,1793.799302,2065.704036,2277.905441,2450.165298,2639.561729,2793.706229,2927.757649,3035.461598,3150.490449,3270.434377,3396.786586,3549.054164,3727.818399,3900.707256,4073.010457,4285.643629,4543.297059,4835.832144,5153.817568,5604.807757,6099.051492,6590.597447,7020.462685,7534.041138,8071.922138,8527.481991,8924.769224,9263.860445,9484.437775,9672.379642,9780.443452,9909.958809,10007.53961,10113.26583,10183.66352
MT,Montana,0.842083202,4.450877544,16.89499597,28.93865705,36.6371688,40.52665755,41.97036241,42.55888501,43.01267429,44.10925375,44.92420316,48.3458679,51.4606401,57.07452811,68.52966659,87.26882477,119.2286892,178.9492299,247.7062589,322.611431,400.4844785,474.386636,544.3600074,614.8676339,698.60813,781.1060856,861.5044471,991.3592907,1174.81273,1430.097738,1798.849714,2205.95016,2681.486707,3219.511442,3785.257556,4511.066845,5291.183015,5849.979135,6425.522419,6893.293088,7258.810529,7512.130676,7770.663318,8126.677383,8391.439569,8608.576337,8818.656447,8996.723361,9135.426627,9262.166699,9371.811546,9462.716298,9559.394935,9672.140519
NC,North Carolina,0.43725813,3.401097855,12.53260367,27.57414986,45.08793026,64.06594379,87.83711114,115.0584797,144.3311285,182.2122134,226.3943538,280.4420712,348.5629024,429.7489418,513.4766274,607.8012914,713.22846,836.6147716,967.0184754,1093.240672,1208.966576,1307.193669,1394.24484,1495.894865,1603.292937,1698.350528,1778.350173,1861.185608,1989.208515,2098.020382,2224.742479,2360.917399,2501.585895,2659.298209,2822.206897,3010.72827,3241.183042,3488.20347,3817.055622,4213.437459,4622.102569,4978.162456,5447.688443,6006.519971,6483.416227,6916.423343,7298.301577,7658.367343,7899.615316,8096.836372,8257.142105,8383.52906,8494.239749,8612.08911
ND,North Dakota,0.656114594,4.817193352,14.97778396,29.01863628,43.28519202,78.9397713,120.9311053,161.8910272,202.9834843,257.9094614,316.9033491,343.5796562,377.6411893,407.9720548,434.9108078,465.354525,509.0320735,579.7612268,673.7168367,785.6316153,894.3970438,1016.002635,1143.888555,1323.663954,1556.604318,1803.208925,2069.272579,2399.50424,2764.267212,3146.894872,3647.003787,4298.693545,5042.240658,6051.569295,7264.181917,8510.856072,9635.492913,10385.61954,11048.03284,11565.01308,11841.4066,12038.27773,12250.0912,12448.87424,12596.04993,12721.57515,12827.52716,12887.45929,12957.00744,13042.58315,13114.23086,13188.10937,13268.88626,13361.30525
NE,Nebraska,1.816576441,3.699839951,9.364105194,22.70151902,44.96776275,84.3741341,175.8088263,312.9934326,444.4403663,549.0568691,642.4187658,742.9296198,816.3148622,874.494419,928.4644191,984.1181385,1039.631246,1110.720179,1188.137663,1288.375048,1393.914831,1487.431814,1583.186691,1665.692553,1776.549208,1876.53587,2002.007849,2145.300268,2305.556015,2501.008577,2737.744054,3042.237729,3359.211707,3791.170735,4453.669546,5254.165616,6034.677793,6687.959831,7332.224639,7797.003528,8187.650692,8493.502922,8854.639766,9208.405879,9495.315363,9764.109226,9936.195983,10084.31055,10221.54013,10323.21723,10423.43239,10524.97715,10618.49413,10708.65815
NH,New Hampshire,1.607694576,7.37583207,23.47116409,51.47123175,76.27650287,107.3441342,142.0993138,189.7984204,232.286861,270.9818483,308.4162738,344.5371847,374.1655396,393.6027582,408.8368778,423.4201238,434.924039,446.3132239,458.9210501,475.1428796,490.0622265,503.6467308,515.2249265,524.3445114,535.2394737,549.4763225,567.5992913,585.4288154,603.0906568,639.4741235,677.3181948,717.7782632,767.1166888,833.3807699,934.8310045,1106.001937,1320.154798,1552.977066,1900.645799,2340.592229,2730.842804,3060.324584,3457.4678,3855.661975,4251.040111,4608.384429,4855.811272,5046.356174,5231.76322,5418.746337,5558.345119,5668.400123,5799.13158,5949.762119
NJ,New Jersey,2.941729461,35.2920845,187.3926363,459.1757213,730.7464713,1000.774696,1249.236618,1441.147172,1569.791459,1663.442687,1745.509047,1810.940095,1852.580388,1881.757652,1910.022866,1950.680407,1975.29956,1998.837787,2016.248245,2045.43992,2077.563529,2105.729105,2135.465916,2156.837784,2181.228503,2208.562415,2238.686968,2273.779665,2317.415975,2370.668608,2433.819024,2509.168797,2609.277667,2738.862825,2921.93378,3196.348085,3509.218222,3828.042408,4207.948715,4583.530188,4934.069526,5259.323883,5931.505293,6647.406664,7108.116692,7506.562458,7873.521508,8162.978837,8430.978959,8665.810009,8925.683193,9187.681079,9475.166485,9793.218677
NM,New Mexico,1.001512284,4.067570603,13.63296673,34.04474089,63.64705944,95.28674012,138.5630397,191.0642213,241.6029156,289.8595927,334.7573884,375.5532759,430.5615766,469.1846593,510.7645879,570.6645606,644.4903232,729.9050137,823.5974417,927.4752495,1009.831035,1071.584283,1121.755279,1168.08333,1210.937563,1247.318689,1280.777307,1322.575184,1384.819172,1468.067258,1596.076743,1786.309709,2027.251626,2305.085918,2688.358946,3181.395812,3997.376038,4643.753496,5237.146186,5784.114966,6252.393495,6639.277213,7041.462609,7489.472437,7836.390569,8095.714529,8324.107021,8487.802773,8621.705919,8731.095383,8840.894036,8922.377552,8990.984482,9057.131984
NV,Nevada,1.609334073,9.461533766,33.26812019,65.08469052,96.89671562,124.8358849,153.4337871,180.9093436,202.4803289,229.1672889,257.8765491,283.608038,320.0857359,370.5750618,444.0499118,577.5262682,748.0046465,934.5305887,1192.244808,1427.418287,1659.169211,1845.760085,2010.204353,2142.95737,2248.554943,2332.108179,2397.893483,2473.580559,2573.195319,2682.141424,2806.819849,2954.080573,3130.096657,3331.204329,3617.780723,3980.118539,4463.883323,4978.987103,5562.343596,6156.390456,6692.378892,7120.822127,7590.158096,8133.396166,8531.724692,8828.193767,9064.754188,9241.670227,9372.521716,9461.107165,9548.885511,9629.758038,9726.984283,9784.944983
