state,county,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
AL,CALHOUN,33.66,85.81,0.57,4.43,24.86,57.14,69.86,89.29,100.14,122.29,130,140.57,159.43,180.71,198.43,211.86,246.29,339.57,500.29,753.86,1062.43,1485.14,1813.43,2012.43,2264.86,2496.29,2785.43,3032.86,3292.43,3502.71,3651.14,3817.14,4036.14,4429.57,4841.29,5131.71,5500.29,5915.43,6323.14,7004.43,7713.57,8514.71,9181,9665.14,10417,11022.43,11470.86,11939.14,12347.14,12632,12916,13225.86,13908.14,14052.29,14154.86,14197.71,-1
AL,CHAMBERS,32.75,85.23,12.71,63.14,150.57,230.14,273.14,292.57,308.71,325,330.71,346.29,376.14,429.29,498.71,547.86,612.14,672.14,731.86,791.43,848.71,892.14,919.43,946.14,1000.86,1048.43,1078.14,1111.71,1151.43,1185.86,1224.71,1258.57,1326.14,1376,1453.14,1527,1633.57,1742.86,1862.57,1970,2076.14,2182.57,2329.86,2544.43,2751.71,2959.86,3140.86,3238.86,3299.57,3348,3392.71,3426.57,3438.14,3462.29,3476.86,-1,-1
AL,CHEROKEE,34.22,85.59,0.86,3.86,7,10.71,12.57,15,19.14,25.29,31,34.71,39.86,46.29,55.43,63.57,83.14,116.43,152.57,194.14,234,282.71,319.29,355.43,389.43,430.14,472.71,537.29,591.57,626.29,655.57,696.14,726.86,766.43,823,876.43,949.29,1009.86,1067.43,1152.71,1243.71,1340.71,1412,1490.86,1580.57,1629.86,1681.29,1720.71,1738.14,1750.43,1762.71,1777.43,1785.86,1792.29,1798.86,-1,-1
AL,CHILTON,32.84,86.62,3.86,13.71,24.86,36.86,47,53.14,62,73.14,83.43,95.29,111,127,153.29,188,228.57,297.29,403.57,549.14,683,799.14,887.29,955.71,1086,1237.29,1344.29,1444,1544.43,1617,1690.29,1757.14,1842.86,1919.86,1982.43,2047,2119,2208.43,2332,2486,2627.71,2780,2949.71,3161.86,3324.29,3411,3512.86,3581.86,3672.71,3761.14,3838.14,3897.57,3941.14,3991.86,4015.43,-1,-1
AL,CHOCTAW,32.08,88.22,0.86,4.29,7.71,13.71,26.29,45.57,59.57,78.86,130.57,150,155,166.71,183.71,188.43,194.57,209,230.71,253.14,273.71,284.86,298.43,312.57,324.43,330.57,338,343.29,347.71,358.86,372.29,382,389.43,394.57,402.29,408.86,413.71,422,436.57,447.86,466.29,484.29,490.86,497.43,509.71,517.57,528.71,538.57,542,545.14,548.86,555.43,568.86,579.71,583.14,-1,-1
AL,CLARKE,31.76,87.71,4.57,14.14,23.29,25,35.43,51.71,70,94.43,134.86,152.43,175.57,207.43,246.57,271.57,303.71,364.14,428.71,488.43,615.43,865.57,918.14,972.43,1011.43,1034.57,1046.86,1084.86,1131.86,1195.14,1245,1318.29,1390.29,1430.14,1482.29,1533.43,1577.57,1647.57,1863.71,2149.86,2265.29,2408.14,2571.57,2754.71,2937.43,3164.71,3306.29,3373.29,3414.71,3431.14,3442.43,3457.86,3470.43,3466.43,-1,-1,-1
AL,CLAY,33.18,86.09,1.29,6.71,11.71,15.71,19,21,25.57,27,27,27.14,28.43,30,30.86,36.57,61.71,79,104.71,150.14,199.86,248.29,295.71,327.14,355.29,402,458.71,525.57,574.29,601.29,633.57,684,734.29,766.86,804,835.43,874.29,911.14,950.86,993.43,1039.29,1095.43,1145.29,1208,1250.43,1290.14,1321.29,1347.29,1385,1410.71,1435.57,1458.57,1468.14,1479.57,1479.86,-1,-1
AL,CLEBURNE,33.7,85.5,2.71,6.71,12,12,12,12,13,13,13,13.86,16,20.14,22,24.71,33.43,42.29,68,89.43,112.14,126.14,135.43,174.29,200.43,232.57,272.14,315.29,360.43,416.43,455.57,501.43,550.29,582,614.57,653.57,714.29,768.14,809.86,865.14,928.71,986.86,1031.57,1099.14,1156.14,1204.57,1262,1312,1333.14,1348,1370.43,1397,1412.14,1441.14,1448.43,-1,-1
AL,COFFEE,31.66,86.17,5.57,23.43,55.71,89.43,121.57,145.57,165,196.43,230.86,246.71,277.86,312.43,341.86,376.29,427.86,524.57,627.86,717.57,790.86,858.14,965.29,1059.43,1129.86,1209,1262.86,1338.29,1437,1520.43,1616,1752.43,1862,1964.14,2134.86,2288.29,2449.29,2631.14,2879.29,3149.86,3395,3672,4072,4374,4602.43,4862.14,5060.14,5141.43,5200.14,5240,5265.14,5299.29,5342.71,5373,-1,-1,-1
AL,COLBERT,34.75,87.96,2,5.57,8.71,14.29,23,36,61.43,86.43,128.14,175.43,207,253.71,298.86,348.86,401.57,510,710,880.14,1063.14,1192,1286.43,1364.14,1439.86,1501.86,1541.86,1591.71,1652.86,1720.29,1799.43,1880,2002,2202.29,2440.86,2690.43,2907.43,3150.43,3491.29,3784,4077,4404.57,4717.71,5018.71,5282.29,5492.71,5715.14,5854.29,5920.71,5960.29,5994,6006.57,6045.57,6118.43,6154.71,-1,-1
